News Org,Compound,Positive,Negative,Neutral,Text,Created At,Tweets Ago
CBSNews,0.0,0.0,0.0,1.0,"""Just because I have more time to watch games doesn’t mean my picks will be better."" Former U.S. President Barack O… https://t.co/ca5YaXZOG9",Thu Mar 15 01:35:31 +0000 2018,3
CBSNews,-0.296,0.0,0.121,0.879,"As Stephen Hawking once told ""60 Minutes,"" he went scientifically where no man had gone before… https://t.co/fsE86x4oLR",Thu Mar 15 01:15:01 +0000 2018,4
CBSNews,0.0,0.0,0.0,1.0,"Republican Rick Saccone isn't yielding the #PA18 race, even as pundits are saying it would be nearly impossible for… https://t.co/C44kboDycq",Thu Mar 15 00:56:01 +0000 2018,5
CBSNews,-0.8176,0.0,0.321,0.679,"High school students across the nation walked out to protest gun violence Wednesday, staying out of class for at le… https://t.co/6eihGylwdA",Thu Mar 15 00:35:01 +0000 2018,6
CBSNews,0.0,0.0,0.0,1.0,"On Wednesday, Russian President Vladimir Putin was busy campaigning for re-election in Crimea, the province he took… https://t.co/G0EC14qyhC",Thu Mar 15 00:15:01 +0000 2018,7
CBSNews,-0.4767,0.087,0.177,0.736,The Senate passed bipartisan legislation easing bank rules that were enacted after the 2008 financial crisis to pre… https://t.co/wTfNwk2w09,Wed Mar 14 23:55:01 +0000 2018,8
CBSNews,0.0,0.0,0.0,1.0,"10-year-old German shepherd supposed to be on flight from Oregon to Kansas City, but when owner arrived in Missouri… https://t.co/C1qG6Y03Me",Wed Mar 14 23:35:01 +0000 2018,9
CBSNews,0.1531,0.078,0.0,0.922,"A Navy F-18 fighter jet crashed in the water near a naval station in Key West, Florida, according to the Navy.… https://t.co/0w3Lh5zspI",Wed Mar 14 23:15:02 +0000 2018,10
CBSNews,-0.5574,0.0,0.141,0.859,"One of the wonders of the universe, Stephen Hawking died today at his home in Cambridge, England. He was 76. CBS Ne… https://t.co/qtof4lz6z7",Wed Mar 14 23:05:00 +0000 2018,11
CBSNews,0.3612,0.133,0.062,0.806,"United is apologizing again for a pet blunder. First, a flight attendant placed a puppy in an overhead bin before i… https://t.co/o1d03dFBed",Wed Mar 14 22:59:32 +0000 2018,12
CBSNews,0.3612,0.116,0.0,0.884,A new study finds women who are physically fit may be 90 percent less likely to develop dementia. @drtaranarula has… https://t.co/CQ7K45rR82,Wed Mar 14 22:52:05 +0000 2018,13
CBSNews,-0.3818,0.0,0.133,0.867,Russian president Vladimir Putin said nothing about the U.K. expelling Russian diplomats. He was campaigning in Cri… https://t.co/ilpDhtNoNP,Wed Mar 14 22:49:39 +0000 2018,14
CBSNews,-0.5574,0.0,0.141,0.859,"CBS News has confirmed that Andrew McCabe, once the deputy director of FBI, could be fired just days short of his o… https://t.co/oPC6nbAxXZ",Wed Mar 14 22:46:10 +0000 2018,15
CBSNews,0.2716,0.087,0.0,0.913,"The shake-up at the White House continues. A new economic adviser is about to go in, and more top members of the ad… https://t.co/DtFewIpbBj",Wed Mar 14 22:43:52 +0000 2018,16
CBSNews,0.1027,0.116,0.099,0.785,"At a high school in Seaside, California, a lesson in gun safety yesterday did not go as planned. It ended with thre… https://t.co/1G5Vvonr3m",Wed Mar 14 22:41:35 +0000 2018,17
CBSNews,0.0,0.0,0.0,1.0,"Hundreds of thousands of high school students left schools for at least 17 minutes, one minute for each of the peop… https://t.co/yFxr0h5xbr",Wed Mar 14 22:35:36 +0000 2018,18
CBSNews,0.0,0.0,0.0,1.0,Congressional sources and White House advisers tell CBS News that Housing and Urban Development Secretary Ben Carso… https://t.co/aGq7TXMEIM,Wed Mar 14 22:30:35 +0000 2018,19
CBSNews,0.0,0.0,0.0,1.0,"JUST IN: F/A-18 crashes near Key West Naval Air Station, U.S. Navy confirms to CBS News' David Martin; crew on board ejected from aircraft.",Wed Mar 14 22:07:34 +0000 2018,20
CBSNews,-0.8271,0.046,0.283,0.671,"""I want to go back to jail."" Missouri man who spent almost four decades in prison for murder and parole violations… https://t.co/276GHawMTs",Wed Mar 14 21:45:01 +0000 2018,21
CBSNews,-0.7579,0.0,0.245,0.755,"The World Bank and the U.N. are sounding the alarm over a global water crisis, saying in a joint report that 40 per… https://t.co/6DXnYBUG8t",Wed Mar 14 21:25:01 +0000 2018,22
CBSNews,-0.5267,0.0,0.185,0.815,"YouTube says it's cracking down on conspiracy videos, though it's scant on the details. https://t.co/7mZiHR3JAi https://t.co/l00J9X06HU",Wed Mar 14 21:05:01 +0000 2018,23
CBSNews,0.2263,0.091,0.0,0.909,"In wake of the Parkland shooting, House passes a bill authorizing $500 million over 10 years for grants to improve… https://t.co/Albg8IxTJf",Wed Mar 14 20:45:37 +0000 2018,24
CBSNews,0.0,0.0,0.0,1.0,"RT @60Minutes: ""I never thought I would get so far,"" said Stephen Hawking in 2003 when he appeared on 60 Minutes in celebration of his 60th…",Wed Mar 14 20:37:59 +0000 2018,25
CBSNews,-0.128,0.0,0.073,0.927,"NOW: Pres. Trump delivers remarks at Boeing Company in St. Louis, Missouri amid reports of looming staff changes wi… https://t.co/0U1XQvBZdV",Wed Mar 14 20:22:26 +0000 2018,26
CBSNews,-0.34,0.0,0.124,0.876,"DEVELOPING: Northwestern University says there is ""a report of a person with a gun"" on Evanston, Illinois campus; o… https://t.co/njN6jkbWkq",Wed Mar 14 20:20:11 +0000 2018,27
CBSNews,-0.4767,0.0,0.129,0.871,"In 2014, a man was shot in a courtroom as he tried to attack a witness with a pen. The footage of the incident has… https://t.co/Vy0ivYBDvB",Wed Mar 14 19:50:50 +0000 2018,28
CBSNews,-0.7845,0.0,0.266,0.734,WATCH LIVE: US Ambassador to UN Nikki Haley addresses poisoning attack on former Russian spy and his daughter in Br… https://t.co/BxvcqrYRwh,Wed Mar 14 19:40:04 +0000 2018,29
CBSNews,0.0,0.0,0.0,1.0,"Former U.S. Ambassador to the UN John Bolton is ""waiting in the wings to replace [H.R.] McMaster,"" @MajorCBS report… https://t.co/PosYVf7seh",Wed Mar 14 19:30:25 +0000 2018,30
CBSNews,0.8176,0.306,0.0,0.694,"""Free market capitalism is the best path to prosperity"" is Larry Kudlow's radio show catchphrase; the media persona… https://t.co/LEqniuQLCF",Wed Mar 14 19:15:25 +0000 2018,31
CBSNews,-0.6369,0.131,0.321,0.547,"Parents of slain DNC staffer Seth Rich file a federal lawsuit alleging Fox News exploited his death as a ""political… https://t.co/a45DAfbOc5",Wed Mar 14 18:55:01 +0000 2018,32
CBSNews,0.296,0.115,0.0,0.885,A former high-ranking executive at Equifax  allegedly sold nearly $1M in company shares more than a week before the… https://t.co/pMJtjnTkKn,Wed Mar 14 18:35:01 +0000 2018,33
CBSNews,-0.34,0.0,0.146,0.854,"MORE: Attorney General Jeff Sessions is reviewing FBI officials’ recommendation to fire Andrew McCabe,… https://t.co/QZPlPn9yWR",Wed Mar 14 18:18:55 +0000 2018,34
